date,province,country,lat,long,type,cases,cumu_cases
2020-04-20,NA,China,31.8257,117.2264,confirmed,0,991
2020-04-21,NA,China,31.8257,117.2264,confirmed,0,991
2020-04-22,NA,China,31.8257,117.2264,confirmed,0,991
2020-04-23,NA,China,31.8257,117.2264,confirmed,0,991
2020-04-24,NA,China,31.8257,117.2264,confirmed,0,991
2020-04-25,NA,China,31.8257,117.2264,confirmed,0,991
2020-04-26,NA,China,31.8257,117.2264,confirmed,0,991
2020-04-27,NA,China,31.8257,117.2264,confirmed,0,991
2020-04-28,NA,China,31.8257,117.2264,confirmed,0,991
2020-04-29,NA,China,31.8257,117.2264,confirmed,0,991
2020-04-30,NA,China,31.8257,117.2264,confirmed,0,991
2020-05-01,NA,China,31.8257,117.2264,confirmed,0,991
2020-05-02,NA,China,31.8257,117.2264,confirmed,0,991
2020-05-03,NA,China,31.8257,117.2264,confirmed,0,991
2020-05-04,NA,China,31.8257,117.2264,confirmed,0,991
2020-05-05,NA,China,31.8257,117.2264,confirmed,0,991
2020-05-06,NA,China,31.8257,117.2264,confirmed,0,991
2020-05-07,NA,China,31.8257,117.2264,confirmed,0,991
2020-05-08,NA,China,31.8257,117.2264,confirmed,0,991
2020-05-09,NA,China,31.8257,117.2264,confirmed,0,991
2020-05-10,NA,China,31.8257,117.2264,confirmed,0,991
2020-05-11,NA,China,31.8257,117.2264,confirmed,0,991
2020-05-12,NA,China,31.8257,117.2264,confirmed,0,991
2020-05-13,NA,China,31.8257,117.2264,confirmed,0,991
2020-01-22,NA,China,40.1824,116.4142,confirmed,14,1005
2020-01-23,NA,China,40.1824,116.4142,confirmed,8,1013
2020-01-24,NA,China,40.1824,116.4142,confirmed,14,1027
2020-01-25,NA,China,40.1824,116.4142,confirmed,5,1032
2020-01-26,NA,China,40.1824,116.4142,confirmed,27,1059
2020-01-27,NA,China,40.1824,116.4142,confirmed,12,1071
2020-01-28,NA,China,40.1824,116.4142,confirmed,11,1082
2020-01-29,NA,China,40.1824,116.4142,confirmed,20,1102
2020-01-30,NA,China,40.1824,116.4142,confirmed,3,1105
2020-01-31,NA,China,40.1824,116.4142,confirmed,25,1130
2020-02-01,NA,China,40.1824,116.4142,confirmed,29,1159
2020-02-02,NA,China,40.1824,116.4142,confirmed,23,1182
2020-02-03,NA,China,40.1824,116.4142,confirmed,21,1203
2020-02-04,NA,China,40.1824,116.4142,confirmed,16,1219
2020-02-05,NA,China,40.1824,116.4142,confirmed,25,1244
2020-02-06,NA,China,40.1824,116.4142,confirmed,21,1265
2020-02-07,NA,China,40.1824,116.4142,confirmed,23,1288
2020-02-08,NA,China,40.1824,116.4142,confirmed,18,1306
2020-02-09,NA,China,40.1824,116.4142,confirmed,11,1317
2020-02-10,NA,China,40.1824,116.4142,confirmed,11,1328
2020-02-11,NA,China,40.1824,116.4142,confirmed,5,1333
2020-02-12,NA,China,40.1824,116.4142,confirmed,10,1343
2020-02-13,NA,China,40.1824,116.4142,confirmed,14,1357
2020-02-14,NA,China,40.1824,116.4142,confirmed,6,1363
2020-02-15,NA,China,40.1824,116.4142,confirmed,3,1366
2020-02-16,NA,China,40.1824,116.4142,confirmed,5,1371
2020-02-17,NA,China,40.1824,116.4142,confirmed,1,1372
2020-02-18,NA,China,40.1824,116.4142,confirmed,6,1378
2020-02-19,NA,China,40.1824,116.4142,confirmed,6,1384
2020-02-20,NA,China,40.1824,116.4142,confirmed,2,1386
2020-02-21,NA,China,40.1824,116.4142,confirmed,1,1387
2020-02-22,NA,China,40.1824,116.4142,confirmed,3,1390
2020-02-23,NA,China,40.1824,116.4142,confirmed,0,1390
2020-02-24,NA,China,40.1824,116.4142,confirmed,0,1390
2020-02-25,NA,China,40.1824,116.4142,confirmed,1,1391
2020-02-26,NA,China,40.1824,116.4142,confirmed,0,1391
2020-02-27,NA,China,40.1824,116.4142,confirmed,10,1401
2020-02-28,NA,China,40.1824,116.4142,confirmed,0,1401
2020-02-29,NA,China,40.1824,116.4142,confirmed,1,1402
2020-03-01,NA,China,40.1824,116.4142,confirmed,2,1404
2020-03-02,NA,China,40.1824,116.4142,confirmed,1,1405
2020-03-03,NA,China,40.1824,116.4142,confirmed,0,1405
2020-03-04,NA,China,40.1824,116.4142,confirmed,4,1409
2020-03-05,NA,China,40.1824,116.4142,confirmed,0,1409
2020-03-06,NA,China,40.1824,116.4142,confirmed,4,1413
2020-03-07,NA,China,40.1824,116.4142,confirmed,4,1417
2020-03-08,NA,China,40.1824,116.4142,confirmed,2,1419
2020-03-09,NA,China,40.1824,116.4142,confirmed,0,1419
2020-03-10,NA,China,40.1824,116.4142,confirmed,1,1420
2020-03-11,NA,China,40.1824,116.4142,confirmed,6,1426
2020-03-12,NA,China,40.1824,116.4142,confirmed,0,1426
2020-03-13,NA,China,40.1824,116.4142,confirmed,1,1427
2020-03-14,NA,China,40.1824,116.4142,confirmed,1,1428
2020-03-15,NA,China,40.1824,116.4142,confirmed,5,1433
2020-03-16,NA,China,40.1824,116.4142,confirmed,10,1443
2020-03-17,NA,China,40.1824,116.4142,confirmed,4,1447
2020-03-18,NA,China,40.1824,116.4142,confirmed,13,1460
2020-03-19,NA,China,40.1824,116.4142,confirmed,11,1471
